processDate;curveCode;origin;tenor;maturity;rate;esc_1;rate_1
2025-09-26;CICPCLP;analytics;2D;4;4.815%;1.00%;5.815%
2025-09-26;CICPCLP;analytics;1M;34;4.821%;1.00%;5.821%
2025-09-26;CICPCLP;analytics;2M;63;4.813%;1.00%;5.813%
2025-09-26;CICPCLP;analytics;3M;95;4.793%;1.00%;5.793%
2025-09-26;CICPCLP;analytics;6M;185;4.698%;1.00%;5.698%
2025-09-26;CICPCLP;analytics;9M;277;4.650%;1.00%;5.650%
2025-09-26;CICPCLP;analytics;1Y;369;4.619%;1.00%;5.619%
2025-09-26;CICPCLP;analytics;18M;550;4.572%;1.00%;5.572%
2025-09-26;CICPCLP;analytics;2Y;734;4.581%;1.00%;5.581%
2025-09-26;CICPCLP;analytics;3Y;1099;4.653%;1.00%;5.653%
2025-09-26;CICPCLP;analytics;4Y;1463;4.753%;1.00%;5.753%
2025-09-26;CICPCLP;analytics;5Y;1830;4.860%;1.00%;5.860%
2025-09-26;CICPCLP;analytics;6Y;2195;4.970%;1.00%;5.970%
2025-09-26;CICPCLP;analytics;7Y;2561;5.064%;1.00%;6.064%
2025-09-26;CICPCLP;analytics;8Y;2926;5.159%;1.00%;6.159%
2025-09-26;CICPCLP;analytics;9Y;3290;5.245%;1.00%;6.245%
2025-09-26;CICPCLP;analytics;10Y;3654;5.326%;1.00%;6.326%
2025-09-26;CICPCLP;analytics;12Y;4387;5.470%;1.00%;6.470%
2025-09-26;CICPCLP;analytics;15Y;5481;5.603%;1.00%;6.603%
2025-09-26;CICPCLP;analytics;20Y;7308;5.650%;1.00%;6.650%
2025-09-26;CICPCLP;analytics;25Y;9135;5.625%;1.00%;6.625%
2025-09-26;CICPCLP;analytics;30Y;10961;5.589%;1.00%;6.589%